date,precision_code,precision,region,location,pleiades_name,pleiades_id,lat,lng,title,imprint,series,shelf_location,bsn
Oct-16,3,Region,Greece,General - Mycenaean era,,,37.92,22.65,A companion to linear B : Mycenaean Greek texts and their world / edited by Yves Duhoux and Anna Morpurgo Davies.,"Louvain-la-Neuve, Belgium ; Dudley, MA : Peeters, 2007-<2014>","Bibliothèque des Cahiers de l'Institut de linguistique de Louvain,0779-1666 ;120, 127, 133.Antiquité",Small Collection: P1038 .C66 2008 v.2,3218839
Oct-16,3,Region,Armenia,(General),Armenia,874350,39.5,40.5,A concordance of the Armenian Apocryphal Adam books / Michael E. Stone.,"Leuven [Belgium] ; Sterling, Va. : Peeters, 2001.",Hebrew University Armenian studies ;1,Small Collection: BS1830.A262 S76 2001 ,785277
Oct-16,2,City,Syria,Ugarit,,668295,35.602208,35.78568,"A dictionary of the Ugaritic language in the alphabetic tradition / By Gregorio del Olmo Lete, Joaquin Sanmartin ; Translated and Edited by Wilfred G.E. Watson.",,"Handbook of oriental studies. Section 1, The Near and Middle East ;vol. 112 =Handbuch der Orientalistik",Reference 4 Collection: PJ4150.Z5 O4613 2015b pt.1-pt.2,4198961
Oct-16,3,Region,Egypt,(General),,,26,30,"À l'école des scribes : les écritures de l'Égypte ancienne / sous la direction de Laure Bazin Rizzo, Annie Gasse, Frédéric Servajean.",,CENiM ;15,Large Collection: PJ1501 .A16 2016 ,4488949
Oct-16,1,Site,Iran,Marlik,,,36.830556,49.459167,"A preliminary report on Marlik excavation : Gohar Rud Expedition, Rudbar, 1961-1962 / by Ezat O. Negahban = گزارش مقدمات حفريات مارلىک (چراغعلى تپه) : هيت حفارى رودبار، ١٣۴٠-١٣۴١ / بقلم دکتر عازت الله نگهبان استاد دانشگاه تهران. // A preliminary report on Marlik excavation : Gohar Rud Expedition, Rudbar, 1961-1962 / by Ezat O. Negahban = Guzārish-i muqaddamāti ḥaffarīyāt-i Mārlīk (Chirāghʻalī tapih) : Hiyyat-i ḥaffārī-i Rūdbār, 1340-1341 / biqalam-i duktur ʻIzzat Allāh Nigahbān Ustād-i Dānishgāh-i Tihrān.","Tehran, Iran : Joint Publication of the Iranian Archcological [sic] Service and the Institute of Arc",,Large Collection: DS262.M37 N43 1964 ,2542321
Oct-16,2,City,Egypt,Aphrodito,Aphroditopolis/Aphrodito ,756532,26.833145,31.416623,A prosopography of Byzantine Aphrodito / by Giovanni Roberto Ruffini.,"Durham, N.C. : American Society of Papyrologists, c2011.",American studies in papyrology ;v. 50,Large Collection: DT73.A75 R85 2011 ,3797559
Oct-16,1,Site,Egypt,Abusir (Djedkare cemetery),Abu Sir,195443086,29.894088,31.204414,"Abusir VI : Djedkare's family cemetery / Miroslav Verner, Vivienne G. Callender ; with a contribution by Eugen Strouhal.","Prague : Czech Institute of Egyptology, Faculty of Arts, Charles University, 2002.",Excavations of the Czech Institute of Egyptology.,Large Collection: DT73.A14 A28 v.6 2002 ,4487015
Oct-16,1,Site,Egypt,Abusir (Royal Necropolis),Abu Sir,195443086,29.893249,31.203193,"Abusir XII : minor tombs in the royal necropolis I : (the Mastabas of Nebtyemneferes and Nakhtsare, Pyramid Complex Lepsius no. 24 and Tomb Complex Lepsius no. 25) / Jaromir Krejčí, Vivienne G. Callender, Miroslav Verner ; with contributions by Victor Černý [and others].","Prague : Czech Institute of Egyptology, 2008.",Excavations of the Czech Institute of Egyptology,Large Collection: DT73.A14 A28 v.12 2008 ,3360167
Oct-16,1,Site,Egypt,Abusir (Pyramid causeway),Abu Sir,195443086,29.897597,31.205248,Abusir XVI : Sahure--the pyramid causeway : history and decoration program in the Old Kingdom / Tarek El Awady.,"Prague : Charles University in Prague, 2009.",,Large Collection: DT73.A14 A28 v.16 2009 text & plates,4487018
Oct-16,1,Site,Egypt,Abusir South (Tomb 38),Abu Sir,195443086,29.884333,31.208828,"Abusir XXII : the tomb of Kaiemtjenenet (as 38) and the surrounding structures (as 57-60) / Hana Vymazalová; with contributions by Katarína Arias Kytnarová, Jaromír Beneš, Aleš Bezděk, Helena Březinová, Adéla Pokorná, Zdeňka Sůvová, Hana Šuláková, Ladislav Varadzin, Pavla Zedníková Malá",,Excavations of the Czech Institute of Egyptology,Large Collection: DT73.A14 A28 v.22 2011 ,4487017
